OBJECTID_1,Join_Count,TARGET_FID,OBJECTID,Shape_Leng,zone,LocationID,borough,F_id,internet_a,level,name,network,operator,public_tra,railway,railway_re,short_name,start_date,station,subway,wheelchair,wikidata,wikimedia_,wikipedia,FID_1,network_wi,operator_w,owner,owner_wiki,opening_ho,gtfs_stop_,source,note,platforms,internet_1,name_en,name_ko,name_ru,wheelcha_1,addr_city,addr_postc,addr_state,name_es,name_nl,name_pl,alt_name,image,descriptio,addr_stree,check_date,website,name_zh,name_zh_Ha,departures,departur_1,payment_om,addr_house,air_condit,old_name,payment__1,toilets_wh,name_pronu,check_da_1,name_lt,location,disused,disused_ra,toilets,toilets_ac,old_name_r,operator_s,Shape_Length,Shape_Area,pickup_by_zone_csv_LocationID,pickup_count,pickup_by_zone_csv_Borough,pickup_by_zone_csv_Zone,pickup_by_zone_csv_service_zone,LocationID_1,dropoff_count,Borough_1,Zone_1,service_zone
46,0,45,46,0.134475429879000,City Island,46,Bronx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94401.424703630400000,0.000926391677672,46,81,Bronx,City Island,Boro Zone,46,189,Bronx,City Island,Boro Zone
47,0,46,47,0.089827556329400,Claremont/Bathgate,47,Bronx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29972.775582280468000,0.000163198117339,47,791,Bronx,Claremont/Bathgate,Boro Zone,47,954,Bronx,Claremont/Bathgate,Boro Zone
48,1,47,48,0.043746744143100,Clinton East,48,Manhattan,node/6751642194,wlan,-2;-1,50th Street,NYC Subway,New York City Transit Authority,station,station,162,50 St,,subway,yes,limited,Q2612907,,en:50th Street station (IND lines),node/6751642194,,Q1325591,,,24/7,,,no in-station transfer between platforms,,no,,50氩堦皜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NYCT,14172.635894705534000,0.000094253842538,48,93463,Manhattan,Clinton East,Yellow Zone,48,90713,Manhattan,Clinton East,Yellow Zone
49,5,48,49,0.075290018342700,Clinton Hill,49,Brooklyn,node/219709647,,-2,Clinton鈥揥ashington Avenues,NYC Subway,New York City Transit Authority,station,station,291,Clinton鈥揥ashington Avs,,subway,yes,no,Q2133202,,en:Clinton鈥揥ashington Avenues station (IND Crosstown Line),node/219709647,,,,,24/7,G35,http://mta.info/nyct/service/gline.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23970.536579962387000,0.000203185525471,49,3605,Brooklyn,Clinton Hill,Boro Zone,49,7281,Brooklyn,Clinton Hill,Boro Zone
50,0,49,50,0.055747986753600,Clinton West,50,Manhattan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29335.221145942658000,0.000173249283326,50,29119,Manhattan,Clinton West,Yellow Zone,50,42911,Manhattan,Clinton West,Yellow Zone
51,1,50,51,0.095361344227700,Co-Op City,51,Bronx,node/7450676596,,2,Baychester Avenue,NYC Subway,New York City Transit Authority,station,station,443,Baychester Av,,subway,yes,no,Q2095015,,en:Baychester Avenue station,node/7450676596,,,,,,,,,,,,,,,,10469,,,,,,,,Baychester Avenue,,,,,,,,3423,,,,,,,,,,,,,,,30342.911694681043000,0.000395756553505,51,1318,Bronx,Co-Op City,Boro Zone,51,1567,Bronx,Co-Op City,Boro Zone
52,0,51,52,0.028907671009300,Cobble Hill,52,Brooklyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9374.460978428871400,0.000045202750960,52,1497,Brooklyn,Cobble Hill,Boro Zone,52,3054,Brooklyn,Cobble Hill,Boro Zone
53,0,52,53,0.161500913385000,College Point,53,Queens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59482.905382926176000,0.000947530980821,53,267,Queens,College Point,Boro Zone,53,832,Queens,College Point,Boro Zone
54,0,53,54,0.076219244855400,Columbia Street,54,Brooklyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23712.332766459414000,0.000132452130536,54,464,Brooklyn,Columbia Street,Boro Zone,54,1009,Brooklyn,Columbia Street,Boro Zone
55,3,54,55,0.149956807524000,Coney Island,55,Brooklyn,node/1683730419,no,2,Coney Island鈥揝tillwell Avenue,NYC Subway,New York City Transit Authority,station,station,58,Coney Island鈥揝tillwell Av,,subway,yes,yes,Q2614974,,en:Coney Island鈥揝tillwell Avenue station,node/1683730419,,,,,24/7,D43,,,,,,,,,,,,,,,,,,,2025-03-22,,,,realtime,no,,,,,,,,,,,,,,,,,49184.519893188117000,0.000736274713586,55,1288,Brooklyn,Coney Island,Boro Zone,55,1795,Brooklyn,Coney Island,Boro Zone
56,0,55,56,0.056847812667700,Corona,56,Queens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17669.451167281724000,0.000180907844436,56,882,Queens,Corona,Boro Zone,56,2253,Queens,Corona,Boro Zone
