Observation Time,X,Y,Z
2025-2-24 2:32:0,-2341894.730883154,1678423.6877383667,-1187665.9775939807
2025-2-24 2:33:0,-2341898.5615105955,1678426.8291568237,-1187666.9953456745
2025-2-24 2:33:0,-2341901.532663855,1678429.6499385315,-1187668.0546041355
2025-2-24 2:34:0,-2341895.840574774,1678425.205350824,-1187666.421412073
2025-2-24 2:34:0,-2341900.185419592,1678428.7014522033,-1187667.588297449
2025-2-24 2:35:0,-2341895.6124062864,1678423.679315515,-1187666.5840183124
2025-2-24 2:35:0,-2341888.7910943357,1678417.918783136,-1187664.6200328693
2025-2-24 2:36:0,-2341898.423224005,1678426.1345004516,-1187667.2734714374
2025-2-24 2:36:0,-2341900.660345587,1678428.4758929687,-1187667.8351913318
2025-2-24 2:37:0,-2341898.863962683,1678426.6739329773,-1187667.3512369022
2025-2-24 2:37:0,-2341904.8507485716,1678431.345861383,-1187668.9520107135
2025-2-24 2:38:0,-2341902.1515527098,1678429.7952784973,-1187668.6015697345
2025-2-24 2:38:0,-603178.1269000797,250679.29389908563,-634197.5231033489
2025-2-24 2:39:0,-603177.9226222364,250679.3502606566,-634197.580087699
2025-2-24 2:39:0,-603176.5612332253,250678.48917229127,-634197.3083289787
2025-2-24 2:40:0,-603176.6186457602,250678.80972969558,-634196.9471786246
2025-2-24 2:40:0,-603178.2500308482,250679.73052408945,-634197.2067456469
2025-2-24 2:41:0,-603178.7226232318,250679.52281531718,-634197.724802725
2025-2-24 2:41:0,-603178.2566078035,250679.16400736597,-634197.7187897637
2025-2-24 2:42:0,-603177.0154523877,250678.6513190868,-634197.1193569973
2025-2-24 2:42:0,-603177.8398458986,250679.18452451404,-634197.3092635944
2025-2-24 2:43:0,-603179.1189029245,250680.34300173473,-634197.9022362754
2025-2-24 2:43:0,-603180.0255158572,250680.93203650814,-634198.3057443872
2025-2-24 2:44:0,-603178.3111532656,250680.1946234184,-634197.7194051966
2025-2-24 2:44:0,-603178.0197340576,250680.28427385192,-634197.544755511
2025-2-24 2:45:0,-603177.6469418136,250679.30508611377,-634197.6636540815
2025-2-24 2:45:0,-603177.5123972921,250678.7270162369,-634197.3878796175
2025-2-24 2:46:0,-603177.4623105554,250678.93062977892,-634197.4579387978
2025-2-24 2:46:0,-603178.033919665,250679.66362306874,-634197.2560087219
2025-2-24 2:47:0,-603178.2677614419,250680.1106570701,-634197.5973620042
2025-2-24 2:47:0,-603179.0171654252,250680.25644399624,-634197.9061500654
2025-2-24 2:48:0,-603179.0843911795,250680.64566746008,-634197.6647116169
2025-2-24 2:48:0,-603179.9057620494,250681.29784621325,-634197.952182062
2025-2-24 2:49:0,-603179.3687002687,250681.01255682137,-634197.8712254092
2025-2-24 2:49:0,-603179.91504288,250680.8660879324,-634198.4353375807
2025-2-24 2:50:0,-895091.610209736,-126512.57878499452,-902840.51482483
2025-2-24 2:50:0,-895091.1984035103,-126512.17961435739,-902840.0709761009
2025-2-24 2:51:0,-895090.8068266241,-126511.20602064554,-902840.0037215576
2025-2-24 2:51:0,-895092.2572479574,-126511.17586856309,-902840.6366389617
2025-2-24 2:52:0,-895092.9754901258,-126510.58693914834,-902840.8518800363
2025-2-24 2:52:0,-895092.0805855123,-126508.90101938669,-902840.1679293737
2025-2-24 2:53:0,-895092.5189042417,-126509.81514649812,-902840.2622952089
2025-2-24 2:53:0,-895091.7611836521,-126510.23027043763,-902840.0958485231
2025-2-24 2:54:0,-895090.544454488,-126509.10393577043,-902839.345206581
2025-2-24 2:54:0,-895089.6639160244,-126510.11211162034,-902839.0537641868
2025-2-24 2:55:0,-895091.156468424,-126511.6157208008,-902840.0232772455
2025-2-24 2:55:0,-895090.488925728,-126510.64288907472,-902839.5911475047
2025-2-24 2:56:0,-895090.8560369341,-126511.19642715875,-902840.0829643831
2025-2-24 2:56:0,-895089.9080903856,-126512.82061105195,-902839.8750075921
2025-2-24 2:57:0,-895089.8809463112,-126512.01320057336,-902839.6087040529
2025-2-24 2:57:0,-895090.4790289728,-126512.66264992181,-902840.0691516027
2025-2-24 2:58:0,-895091.3643794386,-126515.26909332696,-902840.9182475433
2025-2-24 2:58:0,-895091.8537729112,-126513.91001277391,-902840.7913298234
2025-2-24 2:59:0,-895090.3761835424,-126513.08272891465,-902839.9737847671
2025-2-24 2:59:0,-895090.1146822302,-126512.35407858316,-902840.0089856014
2025-2-24 3:0:0,-895088.4569995729,-126512.91734152261,-902839.0385177955
2025-2-24 3:0:0,-895087.2838987438,-126510.9366839451,-902838.4246008024
2025-2-24 3:1:0,-895087.1801318256,-126509.83910589639,-902838.3548419103
2025-2-24 3:1:0,-895088.9326558439,-126512.54004793588,-902839.4026330337
2025-2-24 3:2:0,-895089.6529906122,-126512.09823661271,-902839.7523493394
2025-2-24 3:2:0,-895088.8520379392,-126513.11714439813,-902839.3502248153
2025-2-24 3:3:0,-895088.8552389471,-126513.13517194215,-902839.2633138523
2025-2-24 3:3:0,-895088.8666594354,-126514.90844350282,-902840.0102756843
2025-2-24 3:4:0,-895089.7547861664,-126514.7104423565,-902840.175882183
2025-2-24 3:4:0,-895091.3427043287,-126513.167233519,-902840.4127114639
2025-2-24 3:5:0,-895092.3981821863,-126512.8513021988,-902841.1163694486
2025-2-24 3:5:0,-895091.0631542532,-126512.0083580536,-902840.1827854738
2025-2-24 3:6:0,-895090.5964713423,-126513.82835989419,-902840.3252879009
2025-2-24 3:6:0,-895091.6828651754,-126515.41986470643,-902840.9375822172
2025-2-24 3:7:0,-895090.8229326336,-126514.07549982492,-902840.4205083475
2025-2-24 3:7:0,-895091.3881037561,-126514.61127500955,-902840.8109019622
2025-2-24 3:8:0,-895091.2877141563,-126515.01502280656,-902840.5059239492
2025-2-24 3:8:0,-895090.038246545,-126514.31858497087,-902839.8714849576
2025-2-24 3:9:0,-895089.4635100691,-126512.41015654031,-902839.5134313926
2025-2-24 3:9:0,-895090.2169962255,-126514.48376398507,-902840.1432897672
2025-2-24 3:10:0,-895090.5297705261,-126513.99948196832,-902840.3262852058
2025-2-24 3:10:0,-895091.1677251188,-126514.67673902932,-902840.5062045678
2025-2-24 3:11:0,-895089.9736694423,-126513.00801783029,-902839.9739809856
2025-2-24 3:11:0,-895090.1615069238,-126513.03203826371,-902840.0823530778
