#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2017 01 04 07 00 999 99.0 99.0  0.54  9.09  3.41  71 9999.0 999.0  25.1 999.0 99.0 99.00
2017 01 04 07 30 999 99.0 99.0  0.53  7.14  3.27  67 9999.0 999.0  25.1 999.0 99.0 99.00
2017 01 04 08 00 999 99.0 99.0  0.53  8.33  3.37  74 9999.0 999.0  25.1 999.0 99.0 99.00
2017 01 04 08 30 999 99.0 99.0  0.51  8.33  3.20  64 9999.0 999.0  25.1 999.0 99.0 99.00
2017 01 04 09 00 999 99.0 99.0  0.51  2.38  3.21 223 9999.0 999.0  25.1 999.0 99.0 99.00
2017 01 04 09 30 999 99.0 99.0  0.51  2.33  3.07 227 9999.0 999.0  25.1 999.0 99.0 99.00
2017 01 04 10 00 999 99.0 99.0  0.52  2.27  3.06 244 9999.0 999.0  25.1 999.0 99.0 99.00
2017 01 04 10 30 999 99.0 99.0  0.52  2.38  3.07 256 9999.0 999.0  25.1 999.0 99.0 99.00
2017 01 04 11 00 999 99.0 99.0  0.47  2.33  3.08 261 9999.0 999.0  25.1 999.0 99.0 99.00
2017 01 04 11 30 999 99.0 99.0  0.48  2.33  3.19 263 9999.0 999.0  25.0 999.0 99.0 99.00
2017 01 04 12 00 999 99.0 99.0  0.50  8.33  3.30  69 9999.0 999.0  25.0 999.0 99.0 99.00
2017 01 04 12 30 999 99.0 99.0  0.45  2.13  2.99 256 9999.0 999.0  25.0 999.0 99.0 99.00
2017 01 04 13 00 999 99.0 99.0  0.48  8.33  3.10  70 9999.0 999.0  25.0 999.0 99.0 99.00
2017 01 04 13 30 999 99.0 99.0  0.47  9.09  3.13  66 9999.0 999.0  25.0 999.0 99.0 99.00
2017 01 04 14 00 999 99.0 99.0  0.44  8.33  3.28  74 9999.0 999.0  25.0 999.0 99.0 99.00
2017 01 04 14 30 999 99.0 99.0  0.41  8.33  3.55  76 9999.0 999.0  25.0 999.0 99.0 99.00
2017 01 04 15 00 999 99.0 99.0  0.39  7.69  3.53  78 9999.0 999.0  25.0 999.0 99.0 99.00
2017 01 04 15 30 999 99.0 99.0  0.43  9.09  3.17  78 9999.0 999.0  25.0 999.0 99.0 99.00
2017 01 04 16 00 999 99.0 99.0  0.44  7.69  3.10  70 9999.0 999.0  25.0 999.0 99.0 99.00
2017 01 04 16 30 999 99.0 99.0  0.46  8.33  3.19  77 9999.0 999.0  25.0 999.0 99.0 99.00
2017 01 04 17 00 999 99.0 99.0  0.45  7.69  3.10  76 9999.0 999.0  25.0 999.0 99.0 99.00
2017 01 04 17 30 999 99.0 99.0  0.48  8.33  3.05  84 9999.0 999.0  25.0 999.0 99.0 99.00
2017 01 04 18 00 999 99.0 99.0  0.47  2.94  3.03 150 9999.0 999.0  25.0 999.0 99.0 99.00
2017 01 04 18 30 999 99.0 99.0  0.48  2.86  2.93 157 9999.0 999.0  25.0 999.0 99.0 99.00
